ID,HinhAnh,HangXe,DongXe,NamSX,XuatXu,KieuDang,SoKm,NgoaiThat,NoiThat,NhienLieu,DongCo,HopSo,DanDong,Gia
2761,https://s.bonbanh.com/uploads/users/468981/car/4379344/m_1652349278.366.jpeg,Mazda,6,2020,Lắp ráp trong nước,Sedan,15000,Trắng,Đen,Xăng,2,Số tự động,FWD - Dẫn động cầu trước,835000000
2762,https://s.bonbanh.com/uploads/users/637237/car/4609916/m_1664445063.jpg,MG,ZS,2022,Nhập khẩu,Crossover,4000,Trắng,Ghi,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,710000000
2763,https://s.bonbanh.com/uploads/users/637237/car/4610916/m_1664503988.857.jpg,VinFast,VF e34,2022,Lắp ráp trong nước,Crossover,8200,Trắng,Kem,Điện,0.1,Số tự động,FWD - Dẫn động cầu trước,585000000
2764,https://s.bonbanh.com/uploads/users/568864/car/4392411/m_1653017092.440.jpeg,Mazda,3,2020,Lắp ráp trong nước,Hatchback,15000,Đỏ,Đỏ,Xăng,2,Số tự động,FWD - Dẫn động cầu trước,730000000
2765,https://s.bonbanh.com/uploads/users/24941/car/4472814/m_1657350030.jpg,Mercedes Benz,GLS,2020,Nhập khẩu,SUV,17000,Đen,Nâu,Xăng,3,Số tự động,AWD - 4 bánh toàn thời gian,5350000000
2766,https://s.bonbanh.com/uploads/users/552027/car/4480073/m_1657615301.387.jpg,Toyota,Land Cruiser,2016,Nhập khẩu,SUV,38000,Đen,Nâu,Xăng,5.7,Số tự động,AWD - 4 bánh toàn thời gian,5500000000
2767,https://s.bonbanh.com/uploads/users/374658/car/4544078/m_1660991996.547.jpg,Kia,Sorento,2019,Lắp ráp trong nước,SUV,58000,Trắng,Kem,Dầu,2.2,Số tự động,FWD - Dẫn động cầu trước,895000000
2768,https://s.bonbanh.com/uploads/users/93805/car/4610975/m_1664505576.388.jpeg,Toyota,Corolla Cross,2021,Nhập khẩu,SUV,10000,Đỏ,Đen,Xăng,1.8,Số tự động,FWD - Dẫn động cầu trước,890000000
2769,https://s.bonbanh.com/uploads/users/21277/car/4617597/m_1664849242.517.jpg,Ford,Ranger,2021,Lắp ráp trong nước,Bán tải / Pickup,20000,Trắng,Đen,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,726000000
2770,https://s.bonbanh.com/uploads/users/615978/car/4509456/m_1659154936.101.jpg,Ford,Everest,2019,Nhập khẩu,SUV,68000,Trắng,Đen,Dầu,2,Số tự động,RFD - Dẫn động cầu sau,1060000000
2771,https://s.bonbanh.com/uploads/users/478297/car/4606665/m_1664591959.715.jpeg,Toyota,Vios,2018,Lắp ráp trong nước,Sedan,80000,Cát,Kem,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,489000000
2772,https://s.bonbanh.com/uploads/users/615978/car/4567293/m_1662342185.119.jpg,Ford,EcoSport,2017,Lắp ráp trong nước,SUV,60000,Trắng,Đen,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,475000000
2773,https://s.bonbanh.com/uploads/users/374085/car/4611317/m_1664512743.528.jpeg,Mercedes Benz,C class,2018,Lắp ráp trong nước,Sedan,40000,Trắng,Kem,Xăng,1.5,Số tự động,RFD - Dẫn động cầu sau,1199000000
2774,https://s.bonbanh.com/uploads/users/26/car/4608741/m_1664369371.385.jpg,Toyota,Corolla altis,2012,Lắp ráp trong nước,Sedan,2000000,Bạc,Kem,Xăng,1.8,Số tự động,FWD - Dẫn động cầu trước,415000000
2775,https://s.bonbanh.com/uploads/users/20/car/4589502/m_1663408754.299.jpeg,Audi,Q7,2015,Nhập khẩu,SUV,80000,Trắng,Đen,Xăng,3,Số tự động,AWD - 4 bánh toàn thời gian,2055000000
2776,https://s.bonbanh.com/uploads/users/353415/car/4610446/m_1664538902.361.jpg,VinFast,Fadil,2019,Lắp ráp trong nước,Hatchback,35000,Xanh,Đen,Xăng,1.4,Số tự động,FWD - Dẫn động cầu trước,375000000
2777,https://s.bonbanh.com/uploads/users/341588/car/4576794/m_1662786419.859.jpeg,Hyundai,Avante,2014,Lắp ráp trong nước,Sedan,84000,Trắng,Ghi,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,350000000
2778,https://s.bonbanh.com/uploads/users/53293/car/4581099/m_1662996127.127.jpeg,Volvo,S90,2022,Nhập khẩu,Sedan,6000,Đen,Nâu,Xăng,2,Số tự động,AWD - 4 bánh toàn thời gian,2350000000
2779,https://s.bonbanh.com/uploads/users/110982/car/4559253/m_1661834901.208.jpeg,Mercedes Benz,GL,2015,Nhập khẩu,SUV,70000,Đen,Kem,Dầu,3,Số tự động,AWD - 4 bánh toàn thời gian,1945000000
2780,https://s.bonbanh.com/uploads/users/543668/car/4563150/m_1636258544.437.jpeg,Lexus,ES,2021,Nhập khẩu,Sedan,8000,Trắng,Nâu,Xăng,2.5,Số tự động,FWD - Dẫn động cầu trước,2680000000
2781,https://s.bonbanh.com/uploads/users/546430/car/4397832/m_1653296530.469.jpeg,Porsche,Macan,2016,Nhập khẩu,SUV,60000,Trắng,Kem,Xăng,2,Số tự động,AWD - 4 bánh toàn thời gian,2500000000
2782,https://s.bonbanh.com/uploads/users/482242/car/4577286/m_1662801578.634.jpeg,Lexus,LX,2011,Nhập khẩu,SUV,190000,Trắng,Kem,Xăng,5.7,Số tự động,AWD - 4 bánh toàn thời gian,2620000000
2783,https://s.bonbanh.com/uploads/users/336533/car/4519307/m_1659673251.612.jpeg,Mercedes Benz,C class,2017,Lắp ráp trong nước,Sedan,50000,Xanh,Đen,Xăng,2,Số tự động,RFD - Dẫn động cầu sau,1190000000
2784,https://s.bonbanh.com/uploads/users/140784/car/4599268/m_1663900809.425.jpg,Mercedes Benz,E class,2021,Lắp ráp trong nước,Sedan,2400,Trắng,Đen,Xăng,2,Số tự động,RFD - Dẫn động cầu sau,2295000000
2785,https://s.bonbanh.com/uploads/users/67314/car/4352148/m_1659784071.122.jpeg,Mercedes Benz,S class,2006,Nhập khẩu,Sedan,90000,Bạc,Xám,Xăng,3.5,Số tự động,RFD - Dẫn động cầu sau,588000000
2786,https://s.bonbanh.com/uploads/users/51907/car/4608988/m_1664379819.969.jpg,Ford,Ranger,2020,Nhập khẩu,Bán tải / Pickup,24000,Xanh,Nhiều màu,Dầu,2,Số tự động,4WD - Dẫn động 4 bánh,1225000000
2787,https://s.bonbanh.com/uploads/users/659379/car/4535731/m_1660558261.564.jpg,Porsche,Panamera,2010,Nhập khẩu,Sedan,70000,Cam,Kem,Xăng,3.6,Số tự động,RFD - Dẫn động cầu sau,1590000000
2788,https://s.bonbanh.com/uploads/users/394275/car/4614207/m_1664674821.198.jpg,Toyota,Fortuner,2021,Lắp ráp trong nước,SUV,10000,Trắng,Nâu,Dầu,2.4,Số tự động,RFD - Dẫn động cầu sau,1138000000
2789,https://s.bonbanh.com/uploads/users/394275/car/4619263/m_1664900743.170.jpg,VinFast,Lux SA 2.0,2022,Lắp ráp trong nước,SUV,5000,Đỏ,Màu khác,Xăng,2,Số tự động,RFD - Dẫn động cầu sau,1099000000
